text,category,explanation,rating,rating_reason,suggested_instruction
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,Casual conversation about places and food.,4,Correct category based on clear explanation.,Ensure clarity in casual conversations.
Ok lar... Joking wif u oni...,ham,Light-hearted joking response.,4,Correct category based on clear explanation.,Encourage humor in casual texts.
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,Promotional message for a competition.,4,Correct category based on clear explanation.,Identify promotional content effectively.
U dun say so early hor... U c already then say...,ham,"Casual conversation, expressing surprise.",4,Correct category based on clear explanation.,Highlight expressions of surprise.
"Nah I don't think he goes to usf, he lives around here though",ham,Discussion about someone's location.,4,Correct category based on clear explanation.,Clarify discussions about people.
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam,Inappropriate message seeking casual fun.,4,Correct category based on clear explanation.,Flag inappropriate content clearly.
Even my brother is not like to speak with me. They treat me like aids patent.,ham,Personal expression of feeling isolated.,4,Correct category based on clear explanation.,Acknowledge personal feelings.
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam,Automated message about callertune settings.,4,Correct category based on clear explanation.,Identify automated messages accurately.
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,Spam message claiming a prize.,4,Correct category based on clear explanation.,Spot prize claims effectively.
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,Promotional message for mobile upgrade.,4,Correct category based on clear explanation.,Recognize mobile upgrade promotions.
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,Personal message expressing emotional state.,4,Correct category based on clear explanation.,Support emotional expressions.
