,index,text,category,explanation
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,Casual conversation about places and food.
1,1,Ok lar... Joking wif u oni...,ham,Light-hearted joking response.
2,2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,Promotional message for a competition.
3,3,U dun say so early hor... U c already then say...,ham,"Casual conversation, expressing surprise."
4,4,"Nah I don't think he goes to usf, he lives around here though",ham,Discussion about someone's location.
5,5,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam,Inappropriate message seeking casual fun.
6,6,Even my brother is not like to speak with me. They treat me like aids patent.,ham,Personal expression of feeling isolated.
7,7,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam,Automated message about callertune settings.
8,8,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,Spam message claiming a prize.
9,9,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,Promotional message for mobile upgrade.
10,10,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,Personal message expressing emotional state.
11,11,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,Promotional message for cash prize.
12,12,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,Urgent spam message about winning a prize.
13,13,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,Grateful message expressing appreciation.
14,14,I HAVE A DATE ON SUNDAY WITH WILL!!,ham,Excited personal message about a date.
15,15,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,Spam message promoting a mobile service.
16,16,Oh k...i'm watching here:),ham,Casual message about watching something.
17,17,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,Casual conversation with playful tone.
18,18,Fine if that’s the way u feel. That’s the way its gota b,ham,Response indicating acceptance of a situation.
19,19,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam,Spam message about sports updates.
20,20,Is that seriously how you spell his name?,ham,Casual inquiry about spelling.
21,21,I‘m going to try for 2 months ha ha only joking,ham,Light-hearted message with humor.
22,22,So ü pay first lar... Then when is da stock comin...,ham,Casual conversation about payment and stock.
23,23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,Casual message about lunch plans.
24,24,Ffffffffff. Alright no way I can meet up with you sooner?,ham,Casual message expressing desire to meet.
25,25,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,Personal message about feeling unwell.
26,26,Lol your always so convincing.,ham,Complimentary message with humor.
27,27,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,Casual and playful inquiry.
28,28,"I'm back & we're packing the car now, I'll let you know if there's room",ham,Update about travel plans.
29,29,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,Humorous reflection on work.
30,30,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,Casual conversation about clarity and sarcasm.
31,31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,ham,Personal update and casual chat.
32,32,K tell me anything about you.,ham,Request for personal information in a friendly manner.
33,33,For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,Light-hearted comment about housework.
34,34,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,"Subscription confirmation message, typical spam."
35,35,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,Planning and scheduling a lesson.
36,36,"Oops, I'll let you know when my roommate's done",ham,Casual update about roommate.
37,37,I see the letter B on my car,ham,"Casual observation, likely personal."
38,38,Anything lor... U decide...,ham,"Casual conversation, leaving decision to the other."
39,39,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,Friendly check-in and invitation.
40,40,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,Friendly confirmation and well wishes.
41,41,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,"Romantic message, personal expression."
42,42,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,Spam message about a free mobile offer.
43,43,WHO ARE YOU SEEING?,ham,Casual inquiry about someone's social life.
44,44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,"Personal comment, likely joking."
45,45,No calls..messages..missed calls,ham,Update about communication status.
46,46,Didn't you get hep b immunisation in nigeria.,ham,Health-related inquiry.
47,47,"Fair enough, anything going on?",ham,Casual inquiry about activities.
48,48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,Planning and discussing options.
49,49,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,Personal reflection on stubbornness.
50,50,What you thinked about me. First time you saw me in class.,ham,Inquiry about first impressions.
51,51,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,Discussion about drug quantities.
52,52,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,Informing about plans and arrangements.
53,53,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",ham,Apologetic message about living conditions.
54,54,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,Sports-related spam message.
55,55,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,spam,Clickbait spam message.
56,56,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam,Spam message about a free cinema pass.
57,57,"Sorry, I'll call later in meeting.",ham,Apology for being unavailable.
58,58,Tell where you reached,ham,Request for location update.
59,59,Yes..gauti and sehwag out of odi series.,ham,Update on sports news.
60,60,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,Casual conversation about personal situation.
61,61,Ha ha ha good joke. Girls are situation seekers.,ham,Humorous comment on social behavior.
62,62,Its a part of checking IQ,ham,Discussion about intelligence testing.
63,63,"Sorry my roommates took forever, it ok if I come by now?",ham,Apology and request to visit.
64,64,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,Update on a personal grooming appointment.
65,65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam,Typical spam message offering a prize.
66,66,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",spam,Chain message asking for song dedication.
67,67,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,Urgent spam message about a prize.
68,68,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",ham,Light-hearted comment on a toy.
69,69,I plane to give on this month end.,ham,Personal plan for the month.
70,70,Wah lucky man... Then can save money... Hee...,ham,Casual conversation expressing happiness.
71,71,Finished class where are you.,ham,Checking on someone's whereabouts.
72,72,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,Casual invitation to hang out.
73,73,K..k:)where are you?how did you performed?,ham,Friendly inquiry about someone's performance.
74,74,U can call me now...,ham,Invitation to make a phone call.
75,75,I am waiting machan. Call me once you free.,ham,Waiting for a friend to call.
76,76,Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,Statement about respectful behavior.
77,77,I like you peoples very much:) but am very shy pa.,ham,Expression of affection and shyness.
78,78,Does not operate after  &lt;#&gt;  or what,ham,Question about operational hours.
79,79,Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,Discussion about job searching.
80,80,"Sorry, I'll call later",ham,Apology for not calling now.
81,81,K. Did you call me just now ah?,ham,Inquiry about a recent call.
82,82,Ok i am on the way to home hi hi,ham,Informing someone about heading home.
83,83,You will be in the place of that man,ham,Comment about someone's future position.
84,84,Yup next stop.,ham,Confirmation of next destination.
85,85,"I call you later, don't have network. If urgnt, sms me.",ham,Informing about network issues.
86,86,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,Casual conversation about event preparations.
87,87,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,Update on personal health and gaming.
88,88,I'm really not up to it still tonight babe,ham,Expressing unavailability for plans.
89,89,"Ela kano.,il download, come wen ur free..",ham,Casual invitation to meet.
90,90,Yeah do! Don‘t stand to close tho- you‘ll catch something!,ham,Casual conversation about health.
91,91,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,ham,Apologetic message about rescheduling.
92,92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,Positive motivational message.
93,93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,Classic spam message about winning a prize.
94,94,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,Casual inquiry about plans.
95,95,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam,Spam message about free ringtone.
96,96,Watching telugu movie..wat abt u?,ham,Casual conversation about activities.
97,97,i see. When we finish we have loads of loans to pay,ham,Discussion about financial obligations.
98,98,Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?,ham,Friendly message about plans.
99,99,I see a cup of coffee animation,ham,Casual comment about an animation.
100,100,Please don't text me anymore. I have nothing else to say.,ham,Direct request to stop communication.
101,101,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,Negotiation about a purchase.
